Name,Kind,Slot,HitKind,Condition,MultPve,MultPvp,Tiers,DurationSeconds,Clause,Effect,refId
Shard of Alexander,Talisman,Passive,,,1.15,1.15,,,with weapon skills,Increases damage by 1.15x (holy bugged in PvP: 1x) with weapon skills,312310.0
Sharpshot Talisman,Talisman,Passive,,,1.12,1.08,,,with aimed arrow / bolt  attacks (crosshair aiming),Increases damage by 1.12x (1.08x in PvP) with aimed arrow / bolt  attacks (crosshair aiming),19990.0
Shattered Stone Talisman,Talisman,Passive,,,1.1,1.05,,,with kicking / stomping skills,Increases damage by 1.1x (1.05x in PvP)  with kicking / stomping skills,20380300.0
Smithing Talisman,Talisman,Passive,,,1.1,1.05,,,with weapon-throwing attacks,Increases damage by 1.1x (1.05x in PvP)  with weapon-throwing attacks,20381100.0
St. Trina's Smile,Talisman,Passive,,,1.2,1.12,,30,when sleep is triggered within 7m,Increases damage by 1.2x (1.12x in PvP) for 30 seconds when sleep is triggered within 7m,20381600.0
Talisman of the Dread,Talisman,Passive,,,1.15,1.1,,,with magma attacks,Increases damage by 1.15x (1.1x in PvP)  with magma attacks,20381700.0
Twinblade Talisman,Talisman,Passive,,,1.45,1.45,,,with the final light attack in a chain,Increases damage by 1.45x  with the final light attack in a chain,321200.0
Two-Handed Sword Talisman,Talisman,Passive,,,1.15,1.1,,,with 2h attacks,Increases damage by 1.15x (1.1x in PvP)  with 2h attacks,20380400.0
Warrior Jar Shard,Talisman,Passive,,,1.1,1.1,,,with weapon skills,Increases damage by 1.1x (holy bugged in PvP: 1x) with weapon skills,312300.0
Winged Sword Insignia,Talisman,Passive,,,1.03,1.03,1.05 1.1 1.1,,with continuous attacks,Increases damage by 1.03x /1.05x /1.1x /1.1x with continuous attacks,320800.0
