Skill,DefaultAffinity,AllowedAny,Location,Url
Igon's Drake Hunt,Standard,0.0,"Can be found on Igon's Greatbow after killing Igon in eastern Gravesite Plain Map Link Can be found by summoning Igon and then defeating Bayle The Dread , this will cause Igon to die at his previous location, just south-east of Foot of the Jagged Peak Map Link his body will have both Igon's Greatbow and Igon's Set",https://eldenring.wiki.fextralife.com/Ash_of_War:_Igon%27s_Drake_Hunt
Shield Strike,Standard,0.0,Found on Dueling Shield and Carian Thrusting Shield .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Shield_Strike
Stamp (Upward Cut),Heavy,1.0,"Sold by Knight Bernahl at the Warmaster's Shack for 1,500 . Elden Ring Map Link . Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Stamp_(Upward_Cut)
Stamp (Sweep),Heavy,1.0,"Dropped by an invisible Teardrop Scarab located at the beaches of Western Limgrave . From where the Giant Land Octopus and Land Octopus enemies are, check the east side of the shore and you'll see some pillars on the beach. You'll notice multiple glowing prints moving around the pillars. Attack it at the right time just when it's about to approach you to reveal the scarab. Elden Ring Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Stamp_(Sweep)
Wild Strikes,Heavy,1.0,Dropped from a Teardrop Scarab located in the middle of the path leading from the Stormhill Shack Site of Grace to the Castleward Tunnel Site of Grace . This is the path to enter Stormveil Castle . Elden Ring Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Wild_Strikes
Lion's Claw,Heavy,1.0,Dropped by the Lion Guardian upon defeat in Fort Gael . Elden Ring Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Lion%27s_Claw
Cragblade,Heavy,1.0,Dropped by scarab west of Impassable Bridge. Elden Ring Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Cragblade
Kick,Heavy,1.0,Sold by Knight Bernahl at the Warmaster's Shack for 800 . Elden Ring Map Link . Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Kick
Endure,Heavy,1.0,Sold by Knight Bernahl at the Warmaster's Shack for 600 . Elden Ring Map Link . Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Endure
Ground Slam,Heavy,1.0,Dropped by a Teardrop Scarab found rolling down the hill west of the Minor Erdtree in Mistwood . Elden Ring Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Ground_Slam
Earthshaker,Heavy,1.0,"Dropped by an invisible scarab on the road after Grand Lift of Dectus, near a statue at the first intersection. Strike the Scarab when the footsteps are near and you will acquire this Ash of War. Can only be found at night.",https://eldenring.wiki.fextralife.com/Ash_of_War:_Earthshaker
Hoarah Loux's Earthshaker,Heavy,1.0,Trade Remembrance of Hoarah Loux with Enia at Roundtable Hold .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Hoarah_Loux%27s_Earthshaker
War Cry,Heavy,1.0,Sold by Knight Bernahl at the Warmaster's Shack for 800 . Elden Ring Map Link . Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing .,https://eldenring.wiki.fextralife.com/Ash_of_War:_War_Cry
Barbaric Roar,Heavy,1.0,"On a Teardrop Beetle in Ravine-Veiled Village, found by going as far northeast as possible in Lake of Liurnia (near but not accessible from Grand Lift of Dectus ).",https://eldenring.wiki.fextralife.com/Ash_of_War:_Barbaric_Roar
Braggart's Roar,Heavy,1.0,Found on Blackguard Big Boggart 's weapon after killing him or continuing Dung Eater 's questline and looting the body.,https://eldenring.wiki.fextralife.com/Ash_of_War:_Braggart%27s_Roar
Troll's Roar,Heavy,1.0,Can be found on the top of the big rock just south east the Church of Repose (in Mountaintops of the Giants ). Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Troll%27s_Roar
Spinning Slash,Keen,1.0,"Sold by Knight Bernahl at the Warmaster's Shack for 1,200 . Elden Ring Map Link . Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Spinning_Slash
Impaling Thrust,Keen,1.0,"Sold by Knight Bernahl at the Warmaster's Shack for 1,200 . Elden Ring Map Link . Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Impaling_Thrust
Piercing Fang,Keen,1.0,Can be acquired from Bloody Finger Hunter Yura . Elden Ring Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Piercing_Fang
Repeating Thrust,Keen,1.0,Dropped by the Night's Cavalry that roams the bridge near Agheel Lake North. Elden Ring Map Link,https://eldenring.wiki.fextralife.com/Ash_of_War:_Repeating_Thrust
Double Slash,Keen,1.0,"Sellia, Town of Sorcery : Dropped by a Teardrop Scarab found high above on a very large root in the western end of town. Elden Ring Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Double_Slash
Sword Dance,Keen,1.0,Dropped by a Teardrop Scarab found near the Minor Erdtree in southwest Liurnia . Elden Ring Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Sword_Dance
Unsheathe,Keen,1.0,"Dropped by a Teardrop Scarab in the water in the South East portion of Agheel Lake, North West of the Agheel Lake South Site of Grace . Elden Ring Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Unsheathe
Quickstep,Keen,1.0,Sold by Knight Bernahl at the Warmaster's Shack for 800 . Elden Ring Map Link . Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Quickstep
Bloodhound's Step,Keen,1.0,"Dropped by a Night's Cavalry at the bridge in front of the Lenne's Rise tower, in Dragonbarrow . Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Bloodhound%27s_Step
Raptor of the Mists,Keen,1.0,Found after aiding Bloody Finger Hunter Yura in defeating his target in Raya Lucaria . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Raptor_of_the_Mists
Beast's Roar,Keen,1.0,"Bestial Sanctum : Reward from Gurranq, Beast Clergyman after giving him the fourth Deathroot . Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Beast%27s_Roar
Square Off,Quality,1.0,Dropped by a Teardrop Scarab found rolling around at the edge a the cliff in Siofra River . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Square_Off
Charge Forth,Quality,1.0,"Dropped by a Teardrop Scarab located in Liurnia of the Lakes . West of the Academy Gate Town site of grace, the scarab can be found hanging on the ceiling beneath the bridge Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Charge_Forth
Spinning Strikes,Quality,1.0,"Can be extracted from Banished Knight's Halberd +8. This can be obtained after completing Irina's questline, and defeating Edgar , who appears as an invader at Revenger's Shack .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Spinning_Strikes
Giant Hunt,Quality,1.0,Dropped by area boss Night's Cavalry in northern Liurnia . Only appears at night.,https://eldenring.wiki.fextralife.com/Ash_of_War:_Giant_Hunt
Storm Blade,Quality,1.0,"Sold by Knight Bernahl at the Warmaster's Shack for 1,800 . Elden Ring Map Link . Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Storm_Blade
Storm Assault,Quality,1.0,Dropped by a Teardrop Scarab in Stormveil Castle . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Storm_Assault
Stormcaller,Quality,1.0,"Dropped by a Teardrop Scarab located Stormveil Castle. The scarab will be found in the northern section of the castle, past the courtyard and just before the Secluded Cell Site of Grace . Elden Ring Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Stormcaller
Storm Stomp,Quality,1.0,Found in the southeastern area of Gatefront Ruins . There is a set of stairs that leads to a small room underground where a treasure chest can be found. Inside the chest is the Ash of War: Storm Stomp and Whetstone Knife key item. Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Storm_Stomp
Vacuum Slice,Quality,1.0,Inside the ruined temple surrounded by waterfalls in Deeproot Depths . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Vacuum_Slice
Phantom Slash,Quality,1.0,Dropped by a Night's Cavalry northeast the Forbidden Lands Grace in the Forbidden Lands . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Phantom_Slash
Determination,Quality,1.0,Dropped by a Teardrop Scarab on the path at the bridge north of Agheel Lake. Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Determination
Royal Knight's Resolve,Quality,1.0,"Located in Altus Plateau, Volcano Manor . Continue on from the Temple of Eiglay site of grace to a chapel of Serpent-Men. Past the door on the second floor, then past an Imp Statue Door, you will reach a room with cages that need to be jumped down on. The ash of war will be on a corpse to the east side of the room.",https://eldenring.wiki.fextralife.com/Ash_of_War:_Royal_Knight%27s_Resolve
Glintstone Pebble,Magic,0.0,"Sold by Sorcerer Rogier at Stormveil Castle or the Roundtable Hold for 1,500 . Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Rogier's Bell Bearing .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Glintstone_Pebble
Glintblade Phalanx,Magic,0.0,"After defeating Godrick the Grafted in Stormveil Castle , Rogier can be found in Roundtable Hold , by the balcony. After speaking to him, and receiving his rapier, the skill may be removed from the rapier in order to be applied to other armaments.",https://eldenring.wiki.fextralife.com/Ash_of_War:_Glintblade_Phalanx
Carian Greatsword,Magic,0.0,"Sold by Sorcerer Rogier at Stormveil Castle or the Roundtable Hold for 2,500 Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Rogier's Bell Bearing .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Carian_Greatsword
Carian Grandeur,Magic,0.0,"Caria Manor : Found on the roof of a tall structure in the gardens, accessed by jumping down the cliffs from the Manor's Upper Level. Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Carian_Grandeur
Spinning Weapon,Magic,0.0,"Sold by Sorcerer Rogier at Stormveil Castle or the Roundtable Hold for 1,000 . Elden Ring Map Link . Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Rogier's Bell Bearing .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Spinning_Weapon
Loretta's Slash,Magic,0.0,Caria Manor : Dropped by Royal Knight Loretta upon her defeat. Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Loretta%27s_Slash
Gravitas,Magic,0.0,Obtained in Limgrave by accessing the back entrance of the Cave of Knowledge ( Fringefolk Hero's Grave ) from the beach side. Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Gravitas
Waves of Darkness,Magic,0.0,Trade Remembrance of the Naturalborn with Enia at Roundtable Hold .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Waves_of_Darkness
Thops's Barrier,Magic,0.0,In Church of Irith : Dropped by a Teardrop Scarab after delivering the spare Academy Glintstone Key to Thops . Reload the area after delivering the key to spawn the scarab. Map Link,https://eldenring.wiki.fextralife.com/Ash_of_War:_Thops%27s_Barrier
Carian Retaliation,Magic,0.0,Caria Manor : On a balcony above the Manor Lower Level bonfire. Only accessible by dropping down the cliffs from the southwestern side of the Three Sisters sub-area.,https://eldenring.wiki.fextralife.com/Ash_of_War:_Carian_Retaliation
Flaming Strike,Fire,0.0,"Dropped by a Teardrop Scarab located in Redmane Castle. The scarab will be found in a small graveyard along the south cliffside, behind the castle. From the front gate, hug right along the cliff towards the ballista, going up and past the vampire bats. There will be a small gap in the cliff that must be jumped across to get to the graveyard. Map Link",https://eldenring.wiki.fextralife.com/Ash_of_War:_Flaming_Strike
Flame of the Redmanes,Fire,0.0,Dropped by an invisible Teardrop Scarab located in front of the Fort Gael North Site of Grace . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Flame_of_the_Redmanes
Eruption,Fire,0.0,Sold by Knight Bernahl in Volcano Manor for 8000 . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Eruption
Prelate's Charge,Flame Art,0.0,"Dropped from a Teardrop Scarab located in The Mountaintops of the Giants, south of the Whiteridge Road site of grace. On the south end of a Fire Monk campsite, the scarab will be hanging on a tree. Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Prelate%27s_Charge
Black Flame Tornado,Flame Art,0.0,Crumbling Farum Azula : Dropped by the Godskin Duo Boss inside the Dragon Temple area. Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Black_Flame_Tornado
Thunderbolt,Lightning,0.0,"Dropped by a Teardrop Beetle located in Lyndell, Royal Capital . Northwest of the Avenue Balcony site of grace.",https://eldenring.wiki.fextralife.com/Ash_of_War:_Thunderbolt
Lightning Slash,Lightning,0.0,Dropped by a Teardrop Beetle in the middle of an enclosed area just outside the Capital Outskirts . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Lightning_Slash
Lightning Ram,Lightning,0.0,"It can be found at Altus Plateau , just south of Sainted Hero's Grave . It drops from a Teardrop Scarab in the area. Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Lightning_Ram
Sacred Blade,Sacred,0.0,"Dropped by a Teardrop Scarab North of Third Church of Marika, next to a spirit spring. Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Sacred_Blade
Prayerful Strike,Sacred,0.0,"Dropped by an invisible Teardrop Scarab located in Altus Plateau, just outside of Lyndell Royal Capital. The scarab will be found in the lake north of the Sealed Tunnel, traveling through an opening in the rock. Map Link",https://eldenring.wiki.fextralife.com/Ash_of_War:_Prayerful_Strike
Sacred Ring of Light,Sacred,0.0,Dropped by a Teardrop Scarab located in the Aeonian Swamp in Caelid . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Sacred_Ring_of_Light
Sacred Order,Sacred,0.0,"Dropped by a Teardrop Scarab in Altus Plateau , just north-west of the Abandoned Coffin Sites of Grace . Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Sacred_Order
Shared Order,Sacred,0.0,"Dropped by a Night's Cavalry in Altus Plateau , next to the Altus Highway Junction Sites of Grace . Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Shared_Order
Golden Land,Sacred,0.0,"Dropped by a Teardrop Scarab located in Deeproot Depths . From the Great Waterfall Crest site of grace, head straight ahead and to the left. Fittingly, it is behind the Erdtree Avatar who drops the Staff of the Avatar . Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Golden_Land
Golden Slam,Sacred,0.0,"Dropped by a Teardrop Scarab northwest of Woodfolk Ruins , near the Altus Plateau Erdtree. Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Golden_Slam
Golden Vow,Sacred,0.0,Limgrave : dropped by Mounted Knight when defeated. Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Golden_Vow
Golden Parry,Sacred,0.0,Dropped by a Teardrop Scarab located in Capital Outskirts . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Golden_Parry
Vow of the Indomitable,Sacred,0.0,"Liurnia of the Lakes : Dropped by a Teardrop Scarab , in the southwestern swampy area of the map. Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Vow_of_the_Indomitable
Holy Ground,Sacred,0.0,Together with Tree Sentinel Armor set inside Auriza Hero's Grave .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Holy_Ground
Poisonous Mist,Poison,0.0,Dropped by a Teardrop Scarab found in the Aeonian Swamps in Caelid . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Poisonous_Mist
Poison Moth Flight,Poison,0.0,Dropped by Night's Cavalry in Caelid . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Poison_Moth_Flight
Blood Blade,Blood,0.0,"Dropped by a Teardrop Scarab in Altus Plateau, northeast of Erdtree-Gazing Hill, above a pond. Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Blood_Blade
Bloody Slash,Blood,0.0,Dropped by a Godrick Knight fought at the top of the ramparts of Fort Haight . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Bloody_Slash
Blood Tax,Blood,0.0,"Found in the Mohgwyn Dynasty in a small cave, at the northern edge of the blood lake with four blood albinaurics . Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Blood_Tax
Seppuku,Blood,0.0,"On the frozen lake next to the ""Freezing Lake"" site of grace, dropped by an invisible scarab. Scarab can be heard on the edge of the lake. Stand on his trail and wait for it to come back around and greet it with attacks. Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Seppuku
Ice Spear,Cold,0.0,Liurnia of the Lakes : Dropped by a Night's Cavalry patrolling near the broken Gate Town Bridge. Only appears at night time. Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Ice_Spear
Chilling Mist,Cold,0.0,"Dropped by a Teardrop Scarab located in Three Sisters, Liurnia, in the ruins south of Renna's Rise . Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Chilling_Mist
Hoarfrost Stomp,Cold,0.0,Dropped by an invisible Teardrop Scarab roaming the shallow body of water southeast of Caria Manor in northern Liurnia of the Lakes . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Hoarfrost_Stomp
Spectral Lance,Occult,0.0,Dropped by a Teardrop Scarab at Raya Lucaria Academy . Map Link,https://eldenring.wiki.fextralife.com/Ash_of_War:_Spectral_Lance
Lifesteal Fist,Occult,0.0,Caelid : Dropped by a Teardrop Scarab along the Caelid Highway. Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Lifesteal_Fist
White Shadow's Lure,Occult,0.0,"Dropped by an invisible Teardrop Scarab in the Consecrated Snowfield , northwest of the Inner Consecrated Snowfield site of grace between the grace and Ordina, Liturgical Town. The scarab leaves glowing white tracks in the snow and is chased wherever it goes by a pack of five wolves.",https://eldenring.wiki.fextralife.com/Ash_of_War:_White_Shadow%27s_Lure
Assassin's Gambit,Occult,0.0,Sold by Knight Bernahl in Volcano Manor for 6500 . Note that you will need to fulfill the first contract at Volcano Manor to have access to Knight Bernahl's shop. Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Assassin%27s_Gambit
Mighty Shot,Standard,0.0,Dropped by a Teardrop Scarab located on the path from Limgrave towards Weeping Peninsula . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Mighty_Shot
Through and Through,Standard,0.0,Dropped by an Invisible Scarab just outside Volcano Manor in the Altus Plateau . Strike the Scarab when the footsteps are near and you will acquire this Ash of War. Map Link,https://eldenring.wiki.fextralife.com/Ash_of_War:_Through_and_Through
Barrage,Standard,0.0,Mt. Gelmir : Dropped by a Teardrop Scarab in the narrow channel north of Seethewater River. Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Barrage
Sky Shot,Standard,0.0,Dropped by a Teardrop Scarab found on the cliffs northwest of the Isolated Merchant's Shack in Dragonbarrow . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Sky_Shot
Enchanted Shot,Standard,0.0,"Dropped by a Teardrop Beetle hiding behind a rock near a brazier in Nokron, Eternal City . Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Enchanted_Shot
Rain of Arrows,Standard,0.0,"Caelid : Appears after finding the Redmane Painting location, down the cliffside behind the Minor Erdtree in Caelid. Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Rain_of_Arrows
Parry,Standard,1.0,Sold by Knight Bernahl at the Warmaster's Shack for 600 . Map Link . Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them Bernahl's Bell Bearing .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Parry
Storm Wall,Standard,1.0,Dropped by a Teardrop Scarab that can be found by falling down from the collapsed bridge north of Stormhill . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Storm_Wall
Shield Bash,Standard,1.0,Liurnia of the Lakes : Dropped by a Teardrop Scarab under a bridge very close to East Gate Bridge Trestle site of grace. Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Shield_Bash
Shield Crash,Standard,1.0,"Dropped by a Teardrop Scarab located in the upper section of Lux Ruins , Altus Plateau . Map Link .",https://eldenring.wiki.fextralife.com/Ash_of_War:_Shield_Crash
Barricade Shield,Standard,1.0,Dropped by Night's Cavalry at Weeping Peninsula . Map Link .,https://eldenring.wiki.fextralife.com/Ash_of_War:_Barricade_Shield
